ITL1 region,SIC07,SIC07 desc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
South East,N (77-82),Administrative and support service activities,10052.0,10826.0,11710.0,12786.0,13390.0,14276.0,14754.0,14749.0,12775.0,13975.0,15447.0
South East,O (84),Public administration and defence,11143.0,11089.0,10989.0,11224.0,11270.0,11891.0,12171.0,11898.0,12245.0,12524.0,13085.0
South East,P (85),Education,13085.0,13336.0,13589.0,14089.0,14223.0,14551.0,14757.0,15724.0,16699.0,15348.0,16003.0
South East,Q (86-88),Human health and social work activities,14828.0,14766.0,15317.0,16282.0,16890.0,17500.0,18106.0,19992.0,20291.0,19436.0,19504.0
South East,R (90-93),"Arts, entertainment and recreation",2999.0,3224.0,3360.0,3396.0,3485.0,3987.0,4158.0,4231.0,3462.0,4149.0,4746.0
South East,S (94-96),Other service activities,4009.0,4193.0,4516.0,4815.0,4953.0,5369.0,5545.0,5776.0,5338.0,5691.0,6552.0
South East,T (97-98),Activities of households,431.0,506.0,482.0,480.0,650.0,699.0,818.0,892.0,696.0,639.0,635.0
South West,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",4909.0,5222.0,5733.0,5582.0,5556.0,6875.0,6983.0,6349.0,6994.0,6620.0,6395.0
South West,C (10-33),Manufacturing,8972.0,8442.0,8584.0,7284.0,8365.0,8188.0,9449.0,8369.0,7992.0,6848.0,6313.0
South West,F (41-43),Construction,6492.0,7046.0,7661.0,8637.0,8796.0,9556.0,9677.0,7930.0,7640.0,7145.0,8162.0
South West,G (45-47),Wholesale and retail trade; repair of motor vehicles,7481.0,7484.0,8011.0,8479.0,7138.0,7686.0,8207.0,8564.0,7098.0,8760.0,8761.0
South West,H (49-53),Transportation and storage,3846.0,3920.0,3851.0,3925.0,3886.0,3929.0,4059.0,4168.0,3582.0,4199.0,4797.0
South West,I (55-56),Accommodation and food service activities,3777.0,4025.0,4295.0,4361.0,4783.0,5340.0,5198.0,5501.0,3525.0,5339.0,5774.0
South West,J (58-63),Information and communication,4309.0,4333.0,4739.0,4738.0,5240.0,5303.0,5176.0,5078.0,4663.0,4684.0,5080.0
South West,K (64-66),Financial and insurance activities,4641.0,3920.0,4279.0,4769.0,3849.0,2645.0,2353.0,2307.0,2110.0,2036.0,2222.0
South West,L (68),Real estate activities,7382.0,7648.0,8047.0,8379.0,9128.0,9502.0,10041.0,9478.0,9291.0,9817.0,10592.0
South West,M (69-75),"Professional, scientific and technical activities",5484.0,5880.0,6371.0,6509.0,5578.0,5687.0,5676.0,6059.0,5934.0,6957.0,6487.0
South West,N (77-82),Administrative and support service activities,4747.0,4282.0,3449.0,3414.0,3519.0,4819.0,4800.0,4771.0,4223.0,4130.0,4701.0
South West,O (84),Public administration and defence,6816.0,6782.0,6807.0,6900.0,7226.0,7615.0,6832.0,6956.0,7071.0,7324.0,7202.0
South West,P (85),Education,7544.0,7670.0,6975.0,6984.0,7137.0,7177.0,7347.0,7867.0,8146.0,8612.0,9499.0
South West,Q (86-88),Human health and social work activities,8382.0,8473.0,8759.0,8043.0,8311.0,8409.0,8700.0,7333.0,7554.0,8615.0,7729.0
South West,R (90-93),"Arts, entertainment and recreation",1188.0,1297.0,1419.0,1389.0,1332.0,1445.0,1494.0,1536.0,1026.0,1511.0,1803.0
South West,S (94-96),Other service activities,1558.0,1613.0,1704.0,1794.0,2003.0,2255.0,2332.0,2433.0,2094.0,2414.0,2913.0
South West,T (97-98),Activities of households,328.0,289.0,308.0,253.0,323.0,351.0,449.0,490.0,380.0,323.0,330.0
Wales,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",2822.0,3047.0,3322.0,3501.0,3352.0,3608.0,3640.0,3884.0,3850.0,3285.0,3825.0
Wales,C (10-33),Manufacturing,6397.0,5884.0,7019.0,7550.0,7654.0,6850.0,6704.0,7057.0,7544.0,7470.0,6980.0
Wales,F (41-43),Construction,2840.0,3000.0,3237.0,3496.0,3701.0,3855.0,4157.0,4258.0,3786.0,4088.0,4748.0
Wales,G (45-47),Wholesale and retail trade; repair of motor vehicles,5225.0,5294.0,5215.0,5416.0,5579.0,5688.0,6208.0,6675.0,6151.0,6002.0,6353.0
Wales,H (49-53),Transportation and storage,1668.0,1774.0,1746.0,1747.0,1756.0,1722.0,1843.0,1952.0,1661.0,1791.0,2173.0
Wales,I (55-56),Accommodation and food service activities,1693.0,1702.0,1718.0,1843.0,1998.0,2165.0,2267.0,2477.0,1457.0,2070.0,2768.0
Wales,J (58-63),Information and communication,1618.0,1595.0,1698.0,1757.0,1979.0,1960.0,2084.0,2115.0,1840.0,1939.0,2138.0
Wales,K (64-66),Financial and insurance activities,1524.0,1541.0,1541.0,1483.0,1571.0,1461.0,1673.0,1737.0,1641.0,1738.0,1889.0
Wales,L (68),Real estate activities,6559.0,6666.0,6905.0,6078.0,6175.0,6317.0,6553.0,6591.0,6536.0,6686.0,6948.0
Wales,M (69-75),"Professional, scientific and technical activities",1871.0,1988.0,2029.0,2138.0,2181.0,2277.0,2333.0,2447.0,2526.0,2739.0,2001.0
Wales,N (77-82),Administrative and support service activities,1521.0,1649.0,1877.0,1991.0,2128.0,2262.0,2440.0,2384.0,2097.0,2150.0,2367.0
Wales,O (84),Public administration and defence,4004.0,4204.0,4220.0,4181.0,4411.0,4601.0,4705.0,5237.0,4666.0,4837.0,5229.0
Wales,P (85),Education,3922.0,3944.0,3892.0,3983.0,4026.0,4056.0,3093.0,3281.0,3274.0,3356.0,3576.0
Wales,Q (86-88),Human health and social work activities,5776.0,5955.0,6027.0,6244.0,6693.0,5942.0,6058.0,6303.0,6683.0,6924.0,7180.0
Wales,R (90-93),"Arts, entertainment and recreation",736.0,772.0,780.0,753.0,691.0,733.0,732.0,753.0,561.0,741.0,916.0
Wales,S (94-96),Other service activities,794.0,840.0,887.0,940.0,1031.0,1081.0,1164.0,1139.0,945.0,1026.0,1204.0
Wales,T (97-98),Activities of households,67.0,62.0,57.0,70.0,71.0,62.0,63.0,67.0,51.0,60.0,62.0
West Midlands,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",5486.0,5775.0,6156.0,6033.0,4573.0,4446.0,4575.0,4939.0,4374.0,5389.0,5925.0
West Midlands,C (10-33),Manufacturing,12320.0,12620.0,11243.0,11351.0,11550.0,12228.0,13025.0,11939.0,11017.0,12184.0,9747.0
West Midlands,F (41-43),Construction,5005.0,5581.0,5994.0,6449.0,6665.0,7093.0,7163.0,7667.0,6617.0,7197.0,8521.0
West Midlands,G (45-47),Wholesale and retail trade; repair of motor vehicles,11055.0,11170.0,11725.0,12057.0,12217.0,13325.0,13756.0,13094.0,12669.0,13334.0,13256.0
West Midlands,H (49-53),Transportation and storage,4340.0,4594.0,4805.0,5462.0,5553.0,5595.0,5906.0,6431.0,5457.0,6083.0,6983.0
West Midlands,I (55-56),Accommodation and food service activities,3225.0,3314.0,3320.0,3484.0,3787.0,4015.0,4078.0,4249.0,2509.0,3313.0,4326.0
West Midlands,J (58-63),Information and communication,4267.0,4280.0,3474.0,3656.0,4069.0,4210.0,4514.0,4649.0,4856.0,4825.0,5072.0
West Midlands,K (64-66),Financial and insurance activities,2685.0,3684.0,3580.0,3528.0,3117.0,4278.0,4411.0,3583.0,3591.0,5031.0,5935.0
West Midlands,L (68),Real estate activities,10979.0,10836.0,11933.0,11358.0,13089.0,13416.0,12118.0,12488.0,11386.0,11880.0,12385.0
West Midlands,M (69-75),"Professional, scientific and technical activities",3757.0,4124.0,4239.0,4438.0,4789.0,5140.0,4954.0,5080.0,4820.0,5506.0,6328.0
West Midlands,N (77-82),Administrative and support service activities,4526.0,5058.0,4668.0,4928.0,5182.0,5816.0,4811.0,4788.0,5277.0,5050.0,5464.0
West Midlands,O (84),Public administration and defence,3674.0,3838.0,3706.0,3889.0,4212.0,4364.0,4543.0,4776.0,4948.0,4914.0,5490.0
